Gene	Hit	RecipricalMatch
SymRK	CM072335.1	False
RAD1	CM072336.1	False
VAPYRIN	JAZBRI010000003.1	False
RAM1	JAZBRI010000004.1	False
STR1	CM072337.1	False
STR2	CM072338.1	False
TAU	CM072339.1	False
CCD8	JAZBRI010000008.1	True
DMI1	JAZBRI010000009.1	True
GRAS	JAZBRI010000010.1	False
pp2a	JAZBRI010000011.1	False
HYP4	CM072340.1	False
PT4	CM072341.1	False
SYN	CM072343.1	False
NFP	CM072344.1	False
NUP85	JAZBRI010000019.1	True
LIN	CM072347.1	False
RAM2	JAZBRI010000022.1	False
CCD7	JAZBRI010000024.1	True
