Gene	Hit	RecipricalMatch
DMI1	CAVMKO010000010.1	True
KinG2	CAVMKO010000020.1	False
PT4	CAVMKO010000069.1	False
RAM1	CAVMKO010000116.1	False
pp2a	CAVMKO010000130.1	False
CCaMK	CAVMKO010000150.1	False
FatM	CAVMKO010000165.1	False
CCD	CAVMKO010000184.1	False
STR1	CAVMKO010000224.1	False
CCD7	CAVMKO010000269.1	True
NUP85	CAVMKO010000272.1	True
DnaJ	CAVMKO010000295.1	False
CCD8	CAVMKO010000320.1	True
HYP4	CAVMKO010000323.1	False
NUP133	CAVMKO010000330.1	True
VAPYRIN	CAVMKO010000363.1	False
SYN	CAVMKO010000379.1	False
SEC	CAVMKO010000457.1	False
ABCB20	CAVMKO010000508.1	False
KinF	CAVMKO010000635.1	False
CYTB561	CAVMKO010000651.1	False
STR2	CAVMKO010000653.1	False
EXO70	CAVMKO010000789.1	False
DHY	CAVMKO010000838.1	False
KinG1	CAVMKO010000866.1	False
RAD1	CAVMKO010000990.1	False
NSP2	CAVMKO010001012.1	False
RAM2	CAVMKO010001351.1	False
NFP	CAVMKO010001413.1	False
NENA	CAVMKO010001543.1	True
SymRK	CAVMKO010001649.1	False
GRAS	CAVMKO010001654.1	False
TAU	CAVMKO010001891.1	False
EPP1	CAVMKO010001981.1	False
LIN	CAVMKO010003300.1	False
