Gene	Hit	RecipricalMatch
ABCB20	ATDW01000162.1	False
CYTB561	ATDW01000199.1	False
CCD7	ATDW01000401.1	True
D27	ATDW01000832.1	True
SymRK	ATDW01001199.1	False
KinF	ATDW01001511.1	False
EPP1	ATDW01001844.1	False
KinG1	ATDW01002121.1	False
DnaJ	ATDW01002858.1	False
LIN	ATDW01003095.1	False
FatM	ATDW01003988.1	False
TAU	ATDW01004115.1	False
NUP85	ATDW01004117.1	True
NSP2	ATDW01004482.1	False
RAD1	ATDW01005333.1	False
PT4	ATDW01006112.1	False
NENA	ATDW01006843.1	False
pp2a	ATDW01006915.1	False
CCaMK	ATDW01006967.1	False
HEP	ATDW01007093.1	False
EXO70	ATDW01007672.1	False
MCA8	ATDW01008058.1	True
GRAS	ATDW01008316.1	False
HYP4	ATDW01009158.1	False
KinG2	ATDW01010068.1	False
NFP	ATDW01010252.1	False
NUP133	ATDW01010314.1	True
CCD	ATDW01010596.1	False
RAM2	ATDW01010906.1	True
STR2	ATDW01010932.1	False
VAPYRIN	ATDW01011090.1	False
SYN	ATDW01011510.1	False
CCD8	ATDW01011681.1	True
SEC	ATDW01012019.1	False
RAM1	ATDW01012834.1	False
DHY	ATDW01015126.1	True
