Gene	Hit	RecipricalMatch
RFCb	Medtr3g118160.1	True
CCD8	Medtr3g109610.1	True
HYP2	Medtr3g467150.1	True
NSP2	Medtr3g072710.1	True
KinF	Medtr3g104900.1	True
HEP	Medtr3g099200.1	True
ABCB20	Medtr3g093430.1	True
CCD	Medtr3g110195.1	True
TAU	Medtr0021s0370.1	True
SYN	Medtr2g088700.2	True
DnaJ	Medtr2g008520.1	True
DMI1	Medtr2g005870.1	True
HYP4	Medtr2g091215.1	True
CCaMK	Medtr8g043970.1	True
STR1	Medtr8g107450.1	True
ABCB12	Medtr8g022270.1	True
KinG2	Medtr7g116650.1	True
SEC	Medtr7g087500.1	True
RAM1	Medtr7g027190.1	True
CASTOR	Medtr7g117580.1	True
CCD7	Medtr7g045370.1	True
MCA8	Medtr7g100110.1	True
SymRK	Medtr5g030920.1	True
RFCa	Medtr5g020810.1	True
STR2	Medtr5g030910.1	True
CYCLOPS	Medtr5g026850.2	True
NFP	Medtr5g019040.1	True
NUP133	Medtr5g097260.1	True
LIN	Medtr1g090320.1	True
EPP1	Medtr1g017910.1	True
D27	Medtr1g471050.1	True
GRAS	Medtr1g062970.1	True
RAM2	Medtr1g040500.1	True
NUP85	Medtr1g006690.1	True
EXO70	Medtr1g109110.1	True
pp2a	Medtr1g112940.1	True
PT4	Medtr1g028600.1	True
FatM	Medtr1g069725.1	True
CYTB561	Medtr1g033360.1	True
KinG1	Medtr6g007690.1	True
VAPYRIN	Medtr6g027840.1	True
NENA	Medtr6g072020.1	True
HYP3	Medtr4g104750.1	True
RAD1	Medtr4g104020.1	True
DHY	Medtr4g097510.1	True
