Name	Order	Family	Species	Habitat	Type	AMF Status (FungalRoot database)	RAD1	STR1	STR2	SymRK (DMI2)	CCaMK (DMI3)	CYCLOPS (IDP3)	CASTOR	VAPYRIN	RAM1	ABCB20	CCD	GRAS	HYP4	RFCa	NENA	KinG1	HYP3	D27	FatM	EPP1	SYN	PT4	KinF	NSP2	LIN	NUP133	KinG2	TAU	pp2a	MCA8	CCD8	RAM2	NUP85	DHY	ABCB12	CYTB561	CCD7	DnaJ	NFP	RFCb	DMI1	SEC	HEP	EXO70	HYP2
*Alisma plantago-aquatica* (GCA_963682035.1)	Alismatales	Alismataceae	Alisma plantago-aquatica	Freshwater	Genome (Unannotated)	NM-AM	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	TRUE	NA	FALSE	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA
*Alisma plantago-aquatica* (GCA_963693085.1)	Alismatales	Alismataceae	Alisma plantago-aquatica	Freshwater	Genome (Unannotated)	NM-AM	NA	TRUE	NA	FALSE	NA	NA	NA	TRUE	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	FALSE	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
*Amorphophallus konjac* (GCA_022559845.1)	Alismatales	Araceae	Amorphophallus konjac	Terrestrial	Genome (Unannotated)	AM	NA	TRUE	TRUE	FALSE	TRUE	NA	NA	TRUE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	TRUE	TRUE	FALSE	TRUE	TRUE	NA	TRUE	TRUE	NA	FALSE	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA
*Amorphophallus titanum* (GCA_024336825.1)	Alismatales	Araceae	Amorphophallus titanum	Terrestrial	Genome (Unannotated)	AM	NA	TRUE	TRUE	FALSE	NA	TRUE	TRUE	TRUE	TRUE	NA	FALSE	NA	NA	TRUE	NA	NA	NA	NA	TRUE	NA	FALSE	NA	TRUE	TRUE	TRUE	NA	FALSE	FALSE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	NA	NA	TRUE	FALSE	NA	TRUE	NA	FALSE	FALSE	NA	NA
*Amphibolis antarctica* (GCA_024699675.1)	Alismatales	Cymodoceaceae	Amphibolis antarctica	Marine	Genome (Unannotated)	NM	NA	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	NA	NA	TRUE	FALSE	FALSE	NA	TRUE	FALSE	NA	FALSE	NA
*Ananas comosus* (GCF_001540865.1)	Bromeliales	Bromeliaceae	Ananas comosus	Terrestrial	Genome (Annotated)	AM	TRUE	NA	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	NA
*Anthurium amnicola* (GDJX01)	Alismatales	Araceae	Anthurium amnicola	Terrestrial	Transcriptome	AM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	NA	NA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
*Anthurium andraeanum* (GBKP01)	Alismatales	Araceae	Anthurium andraeanum	Terrestrial	Transcriptome	AM	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	FALSE	FALSE	FALSE	NA	FALSE	FALSE	NA	TRUE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	NA	FALSE	NA	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Aponogeton madagascariensis* (GJFM02)	Alismatales	Aponogetonaceae	Aponogeton madagascariensis	Freshwater	Transcriptome	NM-AM	FALSE	FALSE	FALSE	FALSE	TRUE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Apostasia shenzhenica* (GCA_002786265.1)	Asparagales	Orchidaceae	Apostasia shenzhenica	Terrestrial	Genome (Annotated)	NM	FALSE	NA	FALSE	FALSE	TRUE	TRUE	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	NA	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
