Gene	Hit	RecipricalMatch
CASTOR	JAT67638.1	True
VAPYRIN	JAT65818.1	True
RAM1	JAT65799.1	True
STR2	JAT65512.1	True
ABCB20	JAT64953.1	False
CCD	JAT63634.1	True
GRAS	JAT63487.1	False
SymRK	JAT62908.1	True
HYP4	JAT62615.1	True
RFCa	JAT62566.1	True
NENA	JAT61844.1	True
CCaMK	JAT61842.1	True
KinG1	JAT61114.1	False
HYP3	JAT59369.1	True
D27	JAT59256.1	True
FatM	JAT58417.1	True
EPP1	JAT58275.1	True
TAU	JAT57553.1	True
pp2a	JAT57284.1	True
MCA8	JAT56907.1	True
CCD8	JAT56863.1	False
RAM2	JAT56672.1	True
NUP85	JAT56079.1	True
DHY	JAT54006.1	False
ABCB12	JAT53474.1	True
CYTB561	JAT53152.1	True
CCD7	JAT52996.1	True
DnaJ	JAT52564.1	False
CYCLOPS	JAT51841.1	True
NFP	JAT51674.1	True
RFCb	JAT51625.1	True
DMI1	JAT51591.1	True
SEC	JAT50389.1	False
HEP	JAT49991.1	True
EXO70	JAT49522.1	True
RAD1	JAT47954.1	True
STR1	JAT45628.1	True
HYP2	JAT44992.1	False
SYN	JAT44546.1	False
PT4	JAT44473.1	True
KinF	JAT43067.1	True
NSP2	JAT40937.1	True
LIN	JAT40605.1	True
