Gene	Hit	RecipricalMatch
VAPYRIN	JAMKQA010001792.1	False
KinG2	JAMKQA010002740.1	False
CCD8	JAMKQA010003611.1	True
TAU	JAMKQA010004275.1	False
CYTB561	JAMKQA010005123.1	False
DMI1	JAMKQA010005613.1	True
RAM2	JAMKQA010006669.1	True
NSP2	JAMKQA010007287.1	False
CCD7	JAMKQA010007593.1	True
PT4	JAMKQA010008353.1	False
NUP85	JAMKQA010009158.1	True
NENA	JAMKQA010010685.1	True
EPP1	JAMKQA010011025.1	False
RAD1	JAMKQA010013574.1	False
pp2a	JAMKQA010017122.1	False
KinG1	JAMKQA010018084.1	False
STR2	JAMKQA010018196.1	False
DHY	JAMKQA010018298.1	False
SymRK	JAMKQA010019273.1	False
NFP	JAMKQA010020130.1	False
GRAS	JAMKQA010020304.1	False
LIN	JAMKQA010020354.1	False
SYN	JAMKQA010021310.1	False
ABCB12	JAMKQA010024371.1	False
DnaJ	JAMKQA010031843.1	False
FatM	JAMKQA010032211.1	False
MCA8	JAMKQA010039772.1	True
NUP133	JAMKQA010040051.1	True
KinF	JAMKQA010040272.1	False
ABCB20	JAMKQA010044016.1	False
HEP	JAMKQA010057068.1	False
HYP4	JAMKQA010062840.1	False
CCD	JAMKQA010090568.1	False
EXO70	JAMKQA010145834.1	False
SEC	JAMKQA010175372.1	False
CCaMK	JAMKQA010206024.1	True
RAM1	JAMKQA010248215.1	False
