Gene	Hit	RecipricalMatch
DnaJ	GAFQ01000045.1	False
SYN	GAFQ01000664.1	False
PT4	GAFQ01000747.1	False
KinF	GAFQ01001193.1	False
RAM1	GAFQ01001753.1	False
SEC	GAFQ01001948.1	False
KinG1	GAFQ01008615.1	False
SymRK	GAFQ01008616.1	False
pp2a	GAFQ01010272.1	False
EXO70	GAFQ01012194.1	False
NENA	GAFQ01012246.1	True
RAM2	GAFQ01012488.1	False
HYP4	GAFQ01012594.1	False
STR1	GAFQ01013585.1	False
CCaMK	GAFQ01013612.1	False
EPP1	GAFQ01013646.1	False
CCD	GAFQ01013909.1	True
STR2	GAFQ01016043.1	False
MCA8	GAFQ01016451.1	True
RFCa	GAFQ01016567.1	False
CYTB561	GAFQ01016863.1	False
VAPYRIN	GAFQ01017633.1	False
TAU	GAFQ01018273.1	False
NFP	GAFQ01020689.1	False
ABCB20	GAFQ01022621.1	False
KinG2	GAFQ01022957.1	False
GRAS	GAFQ01023992.1	False
DMI1	GAFQ01024343.1	True
NUP85	GAFQ01024560.1	True
D27	GAFQ01024844.1	True
DHY	GAFQ01029238.1	False
NSP2	GAFQ01031962.1	False
LIN	GAFQ01037316.1	False
NUP133	GAFQ01038340.1	True
