Gene	Hit	RecipricalMatch
KinF	JAZKJV010000039.1	False
CCaMK	JAZKJV010000308.1	False
NFP	JAZKJV010000520.1	False
RAD1	JAZKJV010000560.1	False
pp2a	JAZKJV010000809.1	False
SYN	JAZKJV010001437.1	False
RAM2	JAZKJV010001465.1	False
GRAS	JAZKJV010001517.1	False
CCD7	JAZKJV010001832.1	True
PT4	JAZKJV010002119.1	False
LIN	JAZKJV010002159.1	False
ABCB20	JAZKJV010002638.1	False
ABCB12	JAZKJV010002680.1	False
NUP85	JAZKJV010003973.1	True
FatM	JAZKJV010004029.1	False
D27	JAZKJV010004285.1	False
SymRK	JAZKJV010004595.1	False
DHY	JAZKJV010005594.1	True
RAM1	JAZKJV010005977.1	False
NSP2	JAZKJV010006199.1	False
HEP	JAZKJV010006536.1	False
KinG2	JAZKJV010006715.1	False
MCA8	JAZKJV010007185.1	True
NUP133	JAZKJV010007262.1	True
SEC	JAZKJV010007283.1	False
EXO70	JAZKJV010007331.1	False
HYP4	JAZKJV010007826.1	False
CCD8	JAZKJV010007994.1	True
NENA	JAZKJV010007999.1	True
DnaJ	JAZKJV010008143.1	False
STR2	JAZKJV010008491.1	False
EPP1	JAZKJV010008964.1	False
DMI1	JAZKJV010009116.1	False
KinG1	JAZKJV010009331.1	False
VAPYRIN	JAZKJV010010157.1	True
TAU	JAZKJV010010662.1	False
CCD	JAZKJV010010958.1	True
