Gene	Hit	RecipricalMatch
HEP	GFJT01000335.1	False
RAD1	GFJT01002616.1	False
KinG1	GFJT01007145.1	False
GRAS	GFJT01007675.1	False
CCD7	GFJT01009264.1	False
ABCB20	GFJT01009371.1	False
PT4	GFJT01010890.1	False
STR2	GFJT01014333.1	False
CCaMK	GFJT01014654.1	True
SymRK	GFJT01016980.1	False
KinF	GFJT01019755.1	False
MCA8	GFJT01021532.1	True
DMI1	GFJT01022858.1	True
CYTB561	GFJT01028583.1	False
DHY	GFJT01032430.1	False
NFP	GFJT01034317.1	False
RAM2	GFJT01034482.1	False
VAPYRIN	GFJT01036477.1	True
NUP85	GFJT01036513.1	True
D27	GFJT01039425.1	False
EPP1	GFJT01043037.1	False
SEC	GFJT01045805.1	False
HYP4	GFJT01046879.1	False
RFCb	GFJT01048026.1	False
SYN	GFJT01048045.1	False
RAM1	GFJT01048131.1	False
LIN	GFJT01050130.1	False
DnaJ	GFJT01054318.1	False
CCD8	GFJT01058668.1	False
NUP133	GFJT01059589.1	True
TAU	GFJT01060954.1	False
NENA	GFJT01061128.1	True
EXO70	GFJT01067598.1	False
pp2a	GFJT01069692.1	False
