Gene	Hit	RecipricalMatch
D27	GEMM01002182.1	True
MCA8	GEMM01006644.1	True
HEP	GEMM01009340.1	False
SymRK	GEMM01010489.1	False
RAM2	GEMM01011056.1	False
VAPYRIN	GEMM01011181.1	False
EXO70	GEMM01011273.1	False
NSP2	GEMM01013956.1	False
KinG1	GEMM01014943.1	False
SYN	GEMM01016767.1	False
EPP1	GEMM01019242.1	False
STR2	GEMM01023101.1	False
NFP	GEMM01024747.1	False
CCD8	GEMM01024908.1	False
LIN	GEMM01025531.1	False
KinF	GEMM01025601.1	False
NUP85	GEMM01027181.1	True
DHY	GEMM01029328.1	False
GRAS	GEMM01031286.1	False
ABCB20	GEMM01034915.1	False
SEC	GEMM01036690.1	False
FatM	GEMM01040476.1	False
NUP133	GEMM01045661.1	True
HYP4	GEMM01048277.1	False
DnaJ	GEMM01049024.1	False
CCaMK	GEMM01049214.1	False
pp2a	GEMM01049684.1	False
KinG2	GEMM01051093.1	False
CYTB561	GEMM01052921.1	False
CCD	GEMM01054440.1	False
PT4	GEMM01056889.1	False
NENA	GEMM01058995.1	True
RFCb	GEMM01059181.1	False
DMI1	GEMM01060853.1	True
TAU	GEMM01061420.1	False
RAM1	GEMM01061970.1	False
