Gene	Hit	RecipricalMatch
NSP2	XP_003558300.2	True
NUP133	XP_003558449.1	True
RAM2	XP_003560052.3	True
FatM	XP_003560068.1	False
VAPYRIN	XP_003561632.1	True
CASTOR	XP_003562517.1	True
SYN	XP_003563000.1	True
RAD1	XP_003564863.1	True
CCaMK	XP_003566106.2	True
STR2	XP_003566290.1	True
NENA	XP_003569376.1	True
HYP4	XP_003569470.1	True
PT4	XP_003569484.1	True
NUP85	XP_003569792.1	True
CCD8	XP_003569798.1	True
EPP1	XP_003572400.1	True
RFCb	XP_003574379.1	True
HEP	XP_003576045.1	True
CCD	XP_003576413.3	True
TAU	XP_003576427.1	True
STR1	XP_003576511.2	True
pp2a	XP_003576786.1	True
D27	XP_003577412.1	True
CCD7	XP_003581501.1	True
MCA8	XP_010228776.1	True
ABCB12	XP_010230241.2	True
LIN	XP_010230655.3	False
SEC	XP_010230745.1	False
DMI1	XP_010232620.2	True
EXO70	XP_010233090.1	True
RFCa	XP_010235866.1	True
DHY	XP_010236973.2	True
DnaJ	XP_010239349.2	False
NFP	XP_014751995.1	True
CYCLOPS	XP_014752364.1	True
SymRK	XP_014752741.1	True
GRAS	XP_014757828.1	False
RAM1	XP_024310767.1	True
KinF	XP_024310874.1	True
KinG2	XP_024311111.1	True
KinG1	XP_024311644.1	True
HYP3	XP_024315680.1	True
HYP2	XP_024316086.1	True
CYTB561	XP_024317779.1	False
ABCB20	XP_024318252.1	True
