Gene	Hit	RecipricalMatch
TAU	GBEN01009795.1	False
pp2a	GBEN01009984.1	False
MCA8	GBEN01011893.1	True
KinG1	GBEN01013909.1	False
STR1	GBEN01014356.1	False
RAM2	GBEN01015991.1	False
EXO70	GBEN01016948.1	False
DMI1	GBEN01019914.1	True
CASTOR	GBEN01019917.1	False
ABCB20	GBEN01029353.1	False
DnaJ	GBEN01030671.1	False
SEC	GBEN01031733.1	False
LIN	GBEN01034973.1	False
FatM	GBEN01040530.1	False
DHY	GBEN01041441.1	False
KinG2	GBEN01045374.1	False
STR2	GBEN01046744.1	False
NFP	GBEN01048322.1	False
RAM1	GBEN01048363.1	False
SymRK	GBEN01048996.1	False
PT4	GBEN01052144.1	False
EPP1	GBEN01054835.1	False
NENA	GBEN01055538.1	True
CCD	GBEN01056879.1	True
VAPYRIN	GBEN01060302.1	True
HYP4	GBEN01062335.1	False
NSP2	GBEN01063239.1	False
CCaMK	GBEN01064898.1	False
GRAS	GBEN01065709.1	False
NUP133	GBEN01066638.1	True
HEP	GBEN01068484.1	False
NUP85	GBEN01095374.1	True
ABCB12	GBEN01096250.1	False
CYTB561	GBEN01100646.1	False
D27	GBEN01100942.1	True
CCD7	GBEN01102015.1	True
RFCb	GBEN01105968.1	False
KinF	GBEN01122158.1	False
SYN	GBEN01136626.1	False
CCD8	GBEN01146461.1	True
