Gene	Hit	RecipricalMatch
VAPYRIN	GGFN01000351.1	True
KinG2	GGFN01002660.1	False
SYN	GGFN01003350.1	False
ABCB20	GGFN01004237.1	False
NUP133	GGFN01004276.1	True
pp2a	GGFN01006930.1	False
STR2	GGFN01007163.1	False
NUP85	GGFN01007348.1	True
RAM1	GGFN01008726.1	False
EPP1	GGFN01008837.1	False
KinG1	GGFN01011989.1	False
RAD1	GGFN01013077.1	False
NENA	GGFN01014279.1	True
SymRK	GGFN01014375.1	False
LIN	GGFN01015998.1	False
NSP2	GGFN01016928.1	False
CCD7	GGFN01023399.1	False
DMI1	GGFN01024200.1	True
CCaMK	GGFN01030821.1	True
RAM2	GGFN01031483.1	False
GRAS	GGFN01061691.1	False
DHY	GGFN01069793.1	False
SEC	GGFN01099761.1	False
TAU	GGFN01114272.1	False
D27	GGFN01121392.1	True
CYTB561	GGFN01123093.1	False
STR1	GGFN01133529.1	False
CCD8	GGFN01137554.1	True
PT4	GGFN01142771.1	False
MCA8	GGFN01147691.1	True
DnaJ	GGFN01150678.1	False
NFP	GGFN01166304.1	False
KinF	GGFN01174458.1	False
HYP4	GGFN01175199.1	False
HEP	GGFN01176270.1	False
RFCb	GGFN01188001.1	False
EXO70	GGFN01223882.1	False
