Gene	Hit	RecipricalMatch
DnaJ	GJZM01000056.1	False
GRAS	GJZM01002743.1	False
NUP133	GJZM01008279.1	True
CCD8	GJZM01016056.1	True
RFCa	GJZM01019764.1	False
VAPYRIN	GJZM01025856.1	True
PT4	GJZM01031965.1	False
NSP2	GJZM01032579.1	False
NUP85	GJZM01043664.1	True
CCD7	GJZM01046776.1	True
LIN	GJZM01051400.1	False
CASTOR	GJZM01059365.1	False
STR2	GJZM01059932.1	False
RAD1	GJZM01070988.1	False
HYP4	GJZM01073723.1	False
SymRK	GJZM01088597.1	False
CYTB561	GJZM01091412.1	False
DHY	GJZM01092172.1	False
RFCb	GJZM01098199.1	False
pp2a	GJZM01103441.1	False
KinF	GJZM01108503.1	False
TAU	GJZM01112721.1	False
DMI1	GJZM01124696.1	True
D27	GJZM01125001.1	True
EPP1	GJZM01126295.1	False
KinG1	GJZM01126916.1	False
SYN	GJZM01127565.1	False
CCaMK	GJZM01127573.1	False
RAM1	GJZM01127601.1	False
EXO70	GJZM01127868.1	False
KinG2	GJZM01127922.1	False
CCD	GJZM01127997.1	False
ABCB20	GJZM01128749.1	False
MCA8	GJZM01131560.1	True
NFP	GJZM01134674.1	False
NENA	GJZM01134878.1	True
SEC	GJZM01135365.1	False
RAM2	GJZM01135460.1	False
HEP	GJZM01136550.1	False
