Gene	Hit	RecipricalMatch
SEC	JAMKPZ010000414.1	False
DHY	JAMKPZ010000722.1	False
NSP2	JAMKPZ010000825.1	False
DMI1	JAMKPZ010000924.1	True
NUP85	JAMKPZ010000934.1	True
KinF	JAMKPZ010000979.1	False
EPP1	JAMKPZ010001120.1	False
TAU	JAMKPZ010001500.1	False
ABCB20	JAMKPZ010001622.1	False
CCD8	JAMKPZ010001916.1	True
NUP133	JAMKPZ010002184.1	True
LIN	JAMKPZ010002774.1	False
EXO70	JAMKPZ010002776.1	False
RAM2	JAMKPZ010003274.1	False
DnaJ	JAMKPZ010003283.1	False
CCD	JAMKPZ010003605.1	False
STR2	JAMKPZ010003741.1	False
PT4	JAMKPZ010003784.1	False
pp2a	JAMKPZ010003847.1	False
RAM1	JAMKPZ010003939.1	False
SYN	JAMKPZ010003988.1	False
VAPYRIN	JAMKPZ010004033.1	False
SymRK	JAMKPZ010004615.1	False
GRAS	JAMKPZ010004789.1	False
HYP4	JAMKPZ010005066.1	False
CCaMK	JAMKPZ010005235.1	False
MCA8	JAMKPZ010005713.1	True
CCD7	JAMKPZ010006901.1	True
NENA	JAMKPZ010007781.1	True
NFP	JAMKPZ010015641.1	False
KinG1	JAMKPZ010016003.1	False
