Gene	Hit	RecipricalMatch
PT4	GJWL01002347.1	False
EXO70	GJWL01002499.1	False
NSP2	GJWL01003509.1	False
KinF	GJWL01004109.1	False
RAM1	GJWL01005688.1	False
SEC	GJWL01009651.1	False
FatM	GJWL01010452.1	False
VAPYRIN	GJWL01011646.1	False
D27	GJWL01011674.1	False
SYN	GJWL01011759.1	False
GRAS	GJWL01012481.1	False
pp2a	GJWL01015388.1	False
CCaMK	GJWL01015639.1	True
CCD	GJWL01016080.1	False
KinG2	GJWL01016121.1	False
CYTB561	GJWL01017594.1	False
DHY	GJWL01017694.1	False
ABCB20	GJWL01018063.1	False
NFP	GJWL01018562.1	False
NUP85	GJWL01020379.1	True
KinG1	GJWL01025566.1	False
SymRK	GJWL01027481.1	False
MCA8	GJWL01029489.1	True
ABCB12	GJWL01030003.1	False
HYP4	GJWL01031497.1	False
RAM2	GJWL01034476.1	False
TAU	GJWL01036170.1	False
DMI1	GJWL01036224.1	True
NUP133	GJWL01036692.1	True
NENA	GJWL01037070.1	True
STR1	GJWL01038552.1	False
STR2	GJWL01038557.1	False
DnaJ	GJWL01039349.1	False
LIN	GJWL01041072.1	False
RFCb	GJWL01050728.1	False
EPP1	GJWL01053035.1	False
HEP	GJWL01056180.1	False
RAD1	GJWL01058554.1	False
CCD8	GJWL01068967.1	True
