Gene	Hit	RecipricalMatch
KinG2	JAZBRT010000101.1	False
CCaMK	JAZBRT010000105.1	True
SymRK	JAZBRT010000117.1	False
STR2	JAZBRT010000118.1	False
DnaJ	JAZBRT010000013.1	False
TAU	JAZBRT010000002.1	True
NSP2	JAZBRT010000061.1	False
DHY	JAZBRT010000071.1	False
SEC	JAZBRT010000150.1	False
VAPYRIN	JAZBRT010000135.1	False
ABCB20	JAZBRT010000213.1	False
EPP1	JAZBRT010000221.1	False
pp2a	JAZBRT010000238.1	False
NUP133	JAZBRT010000241.1	True
HYP4	JAZBRT010000396.1	False
HEP	JAZBRT010000408.1	False
SYN	JAZBRT010000518.1	False
LIN	JAZBRT010000544.1	False
DMI1	JAZBRT010000547.1	True
GRAS	JAZBRT010000525.1	False
NFP	JAZBRT010000580.1	False
PT4	JAZBRT010000566.1	False
ABCB12	JAZBRT010000598.1	False
CCD7	JAZBRT010000602.1	True
RAD1	JAZBRT010000673.1	False
NUP85	JAZBRT010000827.1	True
NENA	JAZBRT010000828.1	True
RAM1	JAZBRT010000230.1	False
KinG1	JAZBRT010000393.1	False
CCD	JAZBRT010000557.1	False
RAM2	JAZBRT010000670.1	False
CCD8	JAZBRT010000788.1	True
EXO70	JAZBRT010000832.1	False
