Gene	Hit	RecipricalMatch
KinF	JAAOEJ010001181.1	False
HEP	JAAOEJ010001441.1	False
CCaMK	JAAOEJ010001089.1	False
EPP1	JAAOEJ010001269.1	False
PT4	JAAOEJ010000357.1	False
NENA	JAAOEJ010001290.1	True
TAU	JAAOEJ010000245.1	False
CCD8	JAAOEJ010000923.1	False
CCD7	JAAOEJ010000632.1	False
HYP4	JAAOEJ010000449.1	False
SEC	JAAOEJ010001175.1	False
KinG2	JAAOEJ010000179.1	False
CYTB561	JAAOEJ010001494.1	False
NSP2	JAAOEJ010000401.1	False
STR2	JAAOEJ010001256.1	False
LIN	JAAOEJ010000992.1	False
NUP133	JAAOEJ010000016.1	True
NFP	JAAOEJ010000575.1	False
pp2a	JAAOEJ010001135.1	False
DHY	JAAOEJ010000969.1	False
EXO70	JAAOEJ010000014.1	False
RAM1	JAAOEJ010001074.1	False
SymRK	JAAOEJ010000534.1	False
RAM2	JAAOEJ010001170.1	False
SYN	JAAOEJ010000494.1	False
DnaJ	JAAOEJ010000127.1	False
FatM	JAAOEJ010000092.1	False
VAPYRIN	JAAOEJ010000911.1	False
