Name	Species	File	ID	Type	Order	Family	Accession	BioProject	Annotated?	Habitat	Data Citation	AMF Status	AMF Status Citation	Notes
Alisma plantago-aquatica (GCA_963693085.1)	Alisma plantago-aquatica	GCA_963693085.1_laAliPlan1.1_genomic	laAliPlan1.1	Genome	Alismatales	Alismataceae	GCA_963693085.1	PRJEB70530	No	Freshwater				
Alisma plantago-aquatica (GCA_963682035.1)	Alisma plantago-aquatica	GCA_963682035.1_laAliPlan1.1_alternate_haplotype_genomic	laAliPlan1.1 alternate haplotype	Genome	Alismatales	Alismataceae	GCA_963682035.1	PRJEB70531	No	Freshwater				
Amorphophallus konjac (GCA_022559845.1)	Amorphophallus konjac	GCA_022559845.1_ASM2255984v1_genomic	ASM2255984v1	Genome	Alismatales	Araceae	GCA_022559845.1	PRJNA734512	No	Terrestrial				
Amorphophallus titanum (GCA_024336825.1)	Amorphophallus titanum	GCA_024336825.1_ASM2433682v1_genomic	ASM2433682v1	Genome	Alismatales	Araceae	GCA_024336825.1	PRJNA626018	No	Terrestrial				
Amphibolis antarctica (GCA_024699675.1)	Amphibolis antarctica	GCA_024699675.1_UWA_Aant_1.0_genomic	UWA_Aant_1.0	Genome	Alismatales	Cymodoceaceae	GCA_024699675.1	PRJNA835502	No	Marine				
Ananas comosus (GCF_001540865.1)	Ananas comosus	GCF_001540865.1	ASM154086v1	Genome	Bromeliales	Bromeliaceae	GCF_001540865.1	PRJNA305080	Yes	Terrestrial	10.1038/ng.3435	TRUE	10.1080/00103629009368382	
Anthurium amnicola (GDJX01)	Anthurium amnicola	Anthurium_amnicola_GDJX01.1	GDJX01	Transcriptome	Alismatales	Araceae	GDJX01	PRJNA288827	Yes	Terrestrial				
Anthurium andraeanum (GBKP01)	Anthurium andraeanum	Anthurium_andraeanum_GBKP01.1	GBKP01	Transcriptome	Alismatales	Araceae	GBKP01	PRJNA241042	No	Terrestrial				
Aponogeton madagascariensis (GJFM02)	Aponogeton madagascariensis	Aponogeton_madagascariensis_GJFM02.1	GJFM02	Transcriptome	Alismatales	Aponogetonaceae	GJFM02	PRJNA591467	No	Freshwater				"Technically annotated, but used unannotated version"
Aponogeton madagascariensis (GJFM02)	Aponogeton madagascariensis	Aponogeton_madagascariensis_GJFM02.2	GJFM02	Transcriptome	Alismatales	Aponogetonaceae	GJFM02	PRJNA591467	No	Freshwater				"Technically annotated, but used unannotated version"
Apostasia shenzhenica (GCA_002786265.1)	Apostasia shenzhenica	GCA_002786265.1	ASM278626v1	Genome	Asparagales	Orchidaceae	GCA_002786265.1	PRJNA310678	Yes	Terrestrial	10.1038/nature23897	FALSE		
Arabidopsis thaliana (GCF_000001735.4)	Arabidopsis thaliana	GCF_000001735.4	TAIR10.1	Genome	Brassicales	Brassicaceae	GCF_000001735.4	PRJNA10719	Yes	Terrestrial	10.1093/nar/gkr1090	FALSE		
Brachypodium distachyon (GCF_000005505.3)	Brachypodium distachyon	GCF_000005505.3	Brachypodium_distachyon_v3.0	Genome	Poales	Poaceae	GCF_000005505.3	PRJNA32607	Yes	Terrestrial	10.1038/nature08747	TRUE	10.1007/s00425-012-1677-z	
Colocasia esculenta (GCA_014218235.1)	Colocasia esculenta	GCA_014218235.1_Taro_JAAS_v1.0_genomic	Taro_JAAS_v1.0	Genome	Alismatales	Araceae	GCA_014218235.1	PRJNA587719	No	Terrestrial				
Colocasia esculenta (GCA_013364625.1)	Colocasia esculenta	GCA_013364625.1_ASM1336462v1_genomic	ASM1336462v1	Genome	Alismatales	Araceae	GCA_013364625.1	PRJNA567267	No	Terrestrial				
