Gene	Hit	RecipricalMatch
DMI1	HACV01000361.1	True
RAD1	HACV01000479.1	False
ABCB20	HACV01000590.1	False
PT4	HACV01000658.1	False
RAM2	HACV01000909.1	False
D27	HACV01000921.1	False
pp2a	HACV01001030.1	False
KinG2	HACV01001103.1	False
CCD7	HACV01001114.1	True
MCA8	HACV01001195.1	True
HEP	HACV01001421.1	False
SymRK	HACV01001540.1	False
LIN	HACV01001579.1	False
NUP133	HACV01001656.1	True
SYN	HACV01002102.1	False
RAM1	HACV01002579.1	False
EPP1	HACV01003069.1	False
NENA	HACV01003197.1	True
NFP	HACV01003279.1	False
NUP85	HACV01003414.1	True
HYP4	HACV01003469.1	False
STR2	HACV01003990.1	False
RFCb	HACV01004006.1	False
VAPYRIN	HACV01004879.1	True
CCaMK	HACV01005090.1	False
EXO70	HACV01005255.1	False
CCD	HACV01005605.1	False
GRAS	HACV01005750.1	False
CCD8	HACV01008539.1	True
SEC	HACV01008761.1	False
CYTB561	HACV01009554.1	False
KinF	HACV01011134.1	False
TAU	HACV01011469.1	False
DHY	HACV01011577.1	False
DnaJ	HACV01014640.1	False
