Gene	Hit	RecipricalMatch
KinG2	KMZ56783.1	False
SymRK	KMZ56869.1	False
KinG1	KMZ57224.1	False
NFP	KMZ57251.1	False
STR2	KMZ57915.1	False
RAM2	KMZ58065.1	False
pp2a	KMZ58842.1	False
NSP2	KMZ59183.1	False
KinF	KMZ60519.1	False
DnaJ	KMZ60835.1	False
RFCb	KMZ61210.1	False
CCD	KMZ61408.1	False
D27	KMZ61821.1	False
ABCB20	KMZ62007.1	False
PT4	KMZ63274.1	False
DMI1	KMZ63591.1	True
MCA8	KMZ63623.1	True
CYTB561	KMZ63796.1	False
HEP	KMZ65009.1	False
TAU	KMZ65610.1	False
NENA	KMZ66585.1	True
DHY	KMZ68979.1	False
SEC	KMZ68984.1	False
RAM1	KMZ69744.1	False
EXO70	KMZ70164.1	False
EPP1	KMZ70481.1	False
VAPYRIN	KMZ70908.1	True
CCD7	KMZ70932.1	True
GRAS	KMZ71124.1	False
LIN	KMZ71277.1	False
NUP85	KMZ71921.1	True
ABCB12	KMZ72066.1	False
CCD8	KMZ73065.1	True
NUP133	KMZ73177.1	True
CCaMK	KMZ73314.1	False
HYP4	KMZ75302.1	False
SYN	KMZ75329.1	False
FatM	KMZ75547.1	False
