Gene	Hit	RecipricalMatch
VAPYRIN	JAZHRO010000001.1	False
STR2	JAZHRO010000012.1	False
LIN	JAZHRO010000002.1	False
PT4	JAZHRO010000007.1	False
CCD	JAZHRO010000013.1	False
pp2a	JAZHRO010000022.1	False
D27	JAZHRO010000015.1	False
NUP85	JAZHRO010000025.1	True
SymRK	JAZHRO010000031.1	False
NSP2	JAZHRO010000036.1	False
SEC	JAZHRO010000051.1	False
TAU	JAZHRO010000039.1	True
KinG1	JAZHRO010000054.1	False
SYN	JAZHRO010000055.1	False
NFP	JAZHRO010000056.1	False
RAM1	JAZHRO010000059.1	False
EXO70	JAZHRO010000063.1	False
HYP4	JAZHRO010000073.1	False
CCD7	JAZHRO010000076.1	True
NENA	JAZHRO010000077.1	True
