Gene	Hit	RecipricalMatch
VAPYRIN	GEMD01000938.1	True
GRAS	GEMD01002384.1	False
CYTB561	GEMD01004418.1	False
KinG2	GEMD01007050.1	False
SYN	GEMD01008923.1	False
DnaJ	GEMD01009216.1	False
ABCB20	GEMD01011029.1	False
NUP133	GEMD01011106.1	True
RFCb	GEMD01013662.1	False
D27	GEMD01014343.1	True
KinF	GEMD01015198.1	False
pp2a	GEMD01017317.1	False
HEP	GEMD01017734.1	False
STR2	GEMD01017836.1	False
NUP85	GEMD01018207.1	True
MCA8	GEMD01018772.1	True
RAM1	GEMD01021018.1	False
EPP1	GEMD01021217.1	False
NFP	GEMD01024572.1	False
KinG1	GEMD01027090.1	False
RAD1	GEMD01029011.1	False
PT4	GEMD01029128.1	False
NENA	GEMD01031096.1	True
SymRK	GEMD01031275.1	False
STR1	GEMD01033359.1	False
LIN	GEMD01034005.1	False
NSP2	GEMD01035495.1	False
CCD8	GEMD01045724.1	False
DMI1	GEMD01046985.1	True
EXO70	GEMD01047224.1	False
CCaMK	GEMD01057077.1	True
RAM2	GEMD01058064.1	False
TAU	GEMD01058651.1	False
SEC	GEMD01065145.1	False
HYP4	GEMD01071714.1	False
DHY	GEMD01072454.1	False
