Gene	Hit	RecipricalMatch
TAU	JAZBRS010000001.1	True
NSP2	JAZBRS010000011.1	False
DHY	JAZBRS010000013.1	False
KinG2	JAZBRS010000014.1	False
STR2	JAZBRS010000015.1	False
DnaJ	JAZBRS010000004.1	False
VAPYRIN	JAZBRS010000018.1	False
ABCB20	JAZBRS010000020.1	False
EPP1	JAZBRS010000022.1	False
RAM1	JAZBRS010000023.1	False
pp2a	JAZBRS010000024.1	False
SymRK	JAZBRS010000026.1	False
KinG1	JAZBRS010000030.1	False
HYP4	JAZBRS010000031.1	False
SYN	JAZBRS010000046.1	False
GRAS	JAZBRS010000047.1	False
DMI1	JAZBRS010000053.1	True
PT4	JAZBRS010000055.1	False
NFP	JAZBRS010000057.1	False
CCD	JAZBRS010000059.1	False
CCD7	JAZBRS010000060.1	True
RAM2	JAZBRS010000061.1	False
RAD1	JAZBRS010000062.1	False
CCD8	JAZBRS010000073.1	True
NUP85	JAZBRS010000075.1	True
LIN	JAZBRS010000076.1	False
