Gene	Hit	RecipricalMatch
DHY	JAZHRP010000048.1	False
PT4	JAZHRP010000058.1	False
STR2	JAZHRP010000086.1	False
VAPYRIN	JAZHRP010000009.1	False
RAM2	JAZHRP010000090.1	False
pp2a	JAZHRP010000192.1	False
HEP	JAZHRP010000199.1	False
KinF	JAZHRP010000216.1	False
NUP133	JAZHRP010000220.1	True
CCD	JAZHRP010000113.1	False
D27	JAZHRP010000158.1	False
MCA8	JAZHRP010000333.1	False
NUP85	JAZHRP010000359.1	True
ABCB20	JAZHRP010000479.1	False
NSP2	JAZHRP010000570.1	False
EPP1	JAZHRP010000582.1	False
SEC	JAZHRP010000739.1	False
TAU	JAZHRP010000588.1	True
CCaMK	JAZHRP010000764.1	False
KinG1	JAZHRP010000793.1	False
SYN	JAZHRP010000800.1	False
FatM	JAZHRP010000815.1	False
RAM1	JAZHRP010000844.1	False
CCD8	JAZHRP010000933.1	True
HYP4	JAZHRP010001076.1	False
DnaJ	JAZHRP010001110.1	False
GRAS	JAZHRP010001117.1	False
CCD7	JAZHRP010001101.1	True
NENA	JAZHRP010001125.1	True
NFP	JAZHRP010001154.1	False
SymRK	JAZHRP010001286.1	False
LIN	JAZHRP010001648.1	False
EXO70	JAZHRP010001226.1	False
