Gene	Hit	RecipricalMatch
KinG1	VTZB01001137.1	False
ABCB20	VTZB01001384.1	False
RAM2	VTZB01001648.1	False
HEP	VTZB01002164.1	False
SYN	VTZB01003220.1	False
NUP133	VTZB01004154.1	True
HYP4	VTZB01004243.1	False
TAU	VTZB01004463.1	False
STR2	VTZB01005047.1	False
FatM	VTZB01005725.1	False
VAPYRIN	VTZB01005749.1	False
NSP2	VTZB01005992.1	False
CYTB561	VTZB01006065.1	False
KinF	VTZB01006285.1	False
NENA	VTZB01006386.1	True
STR1	VTZB01007100.1	False
D27	VTZB01007395.1	True
NFP	VTZB01007618.1	False
EPP1	VTZB01007751.1	False
pp2a	VTZB01007945.1	False
LIN	VTZB01008116.1	False
GRAS	VTZB01008349.1	False
CCD	VTZB01008704.1	False
EXO70	VTZB01008716.1	False
SymRK	VTZB01008955.1	False
CCaMK	VTZB01009111.1	False
RAM1	VTZB01009561.1	False
PT4	VTZB01009852.1	False
CCD8	VTZB01010153.1	False
SEC	VTZB01010201.1	False
KinG2	VTZB01010542.1	False
DMI1	VTZB01010853.1	True
DHY	VTZB01010924.1	False
NUP85	VTZB01011203.1	True
CCD7	VTZB01011821.1	True
