Gene	Hit	RecipricalMatch
DHY	HADH01000032.1	False
RAM1	HADH01000723.1	False
EPP1	HADH01001065.1	False
HYP4	HADH01001181.1	False
TAU	HADH01001376.1	False
CYTB561	HADH01001786.1	False
VAPYRIN	HADH01001869.1	False
SEC	HADH01005198.1	False
NENA	HADH01007203.1	True
STR2	HADH01007982.1	False
RFCb	HADH01009074.1	False
DMI1	HADH01011760.1	True
NUP85	HADH01012267.1	True
HEP	HADH01013498.1	False
CCaMK	HADH01015135.1	False
KinG1	HADH01016450.1	False
D27	HADH01016588.1	False
RAM2	HADH01022587.1	False
KinG2	HADH01023544.1	False
ABCB20	HADH01024326.1	False
KinF	HADH01025686.1	False
LIN	HADH01027042.1	False
EXO70	HADH01028699.1	False
GRAS	HADH01029453.1	False
MCA8	HADH01029741.1	True
PT4	HADH01033792.1	False
NUP133	HADH01035466.1	True
SymRK	HADH01041234.1	False
SYN	HADH01049047.1	False
pp2a	HADH01049489.1	False
NFP	HADH01053815.1	False
DnaJ	HADH01056306.1	False
NSP2	HADH01056565.1	False
CCD8	HADH01056950.1	False
