Gene	Hit	RecipricalMatch
ABCB20	GJFM02003712.1	False
CASTOR	GJFM02004675.1	False
LIN	GJFM02004772.1	False
SymRK	GJFM02004914.1	False
NUP133	GJFM02005389.1	True
MCA8	GJFM02007938.1	True
RAM1	GJFM02012904.1	False
RAD1	GJFM02019958.1	False
EPP1	GJFM02022161.1	False
CCD8	GJFM02023095.1	True
NUP85	GJFM02025618.1	True
KinG1	GJFM02033585.1	False
KinF	GJFM02035015.1	False
CCaMK	GJFM02038452.1	True
DMI1	GJFM02041634.1	True
HEP	GJFM02046635.1	False
RFCa	GJFM02048430.1	False
CCD	GJFM02051378.1	False
RAM2	GJFM02057397.1	False
EXO70	GJFM02057634.1	False
pp2a	GJFM02058750.1	False
GRAS	GJFM02063042.1	False
PT4	GJFM02063322.1	False
NENA	GJFM02075370.1	True
SEC	GJFM02078326.1	False
TAU	GJFM02099278.1	False
KinG2	GJFM02103254.1	False
RFCb	GJFM02105102.1	False
D27	GJFM02114401.1	True
DHY	GJFM02122546.1	False
NFP	GJFM02124749.1	False
SYN	GJFM02137295.1	False
CYTB561	GJFM02158499.1	False
VAPYRIN	GJFM02164513.1	False
HYP4	GJFM02173276.1	False
DnaJ	GJFM02208241.1	False
STR2	GJFM02225252.1	False
CCD7	GJFM02229888.1	True
STR1	GJFM02234618.1	False
