Gene	Hit	RecipricalMatch
KinG2	Zosma02g17080	False
KinF	Zosma02g01600	False
STR2	Zosma02g07460	False
DnaJ	Zosma02g22660	False
FatM	Zosma02g17170	False
GRAS	Zosma02g14930	False
VAPYRIN	Zosma01g17940	True
DHY	Zosma01g29760	False
CCD	Zosma01g01740	False
SEC	Zosma01g29710	False
LIN	Zosma01g28250	False
NENA	Zosma01g09210	True
RAM2	Zosma01g40870	False
MCA8	Zosma01g18880	True
NUP133	Zosma04g22410	True
D27	Zosma04g00050	True
EXO70	Zosma04g07100	False
pp2a	Zosma04g02370	False
DMI1	Zosma04g16190	True
SymRK	Zosma04g27210	False
EPP1	Zosma06g28120	False
NFP	Zosma06g28740	False
CCD8	Zosma06g24690	True
RFCb	Zosma06g29850	False
ABCB20	Zosma06g04050	False
PT4	Zosma06g29300	False
CCD7	Zosma06g11090	True
NUP85	Zosma05g04280	True
HYP4	Zosma05g33310	False
RAM1	Zosma05g07440	False
TAU	Zosma05g25320	False
SYN	Zosma05g33060	False
KinG1	Zosma03g00690	False
NSP2	Zosma03g29150	False
HEP	Zosma03g02930	False
CYTB561	Zosma03g03680	False
CCaMK	Zosma03g21880	False
